"type","date","ticker","close","previous_close","percentage_close","vol","av20d","percentage_vol"
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","RMSGW",0.041,0.0517,-0.206963249516,76951.0,26732.75,2.878529144962
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","WGMI",20.78,26.22,-0.207475209763,1293061.0,579998.2,2.229422436138
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CEG",275.0,347.44,-0.208496431038,1.6060762E7,5102542.450000001,3.147599879350
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CELUW",0.0632,0.08,-0.209999999999,88079.0,35145.85,2.506099582169
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CIEN",76.29,96.62,-0.210411922997,8222039.0,2375957.75,3.460515659421
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LEGT-WS",0.15,0.19,-0.210526315789,268118.0,41860.45,6.405043424043
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MTEN",4.96,6.3,-0.212698412698,120703.0,61908.75,1.949692087144
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ONMD",1.06,1.35,-0.214814814814,344869.0,170614.55,2.021334053865
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","GEV",329.995,420.49,-0.215213203643,1.3334398E7,3370827.5,3.955823310448
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SMTC",57.26,73.02,-0.215831279101,5365400.0,1740186.6,3.083232568277
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TLN",192.16,245.06,-0.215865502325,4648090.0,1097723.85,4.234298088722
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","VFSWW",0.3135,0.4,-0.216250000000,17064.0,12042.45,1.416987407047
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SLNH",2.17,2.77,-0.216606498194,1255735.0,553528.45,2.268600647356
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","FN",202.14,258.73,-0.218722220074,2776070.0,483618.8,5.740202820899
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ANET",100.3,129.17,-0.223503909576,3.3203829E7,7235229.55,4.589188051400
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LITE",74.17,95.65,-0.224568740198,7618416.0,1716567.25,4.438169259025
